id,date,start_time,end_time,department,class_type,topic
11,2025-01-04,11:30:00,12:00:00,幼稚班,詩頌,Hymn 220
1,2025-01-04,14:00:00,15:00:00,幼幼班,崇拜,God's love
2,2025-01-04,14:00:00,15:00:00,幼稚班,崇拜,God of Heaven
3,2025-01-04,14:00:00,14:55:00,幼年班,崇拜,Moses
4,2025-01-04,14:00:00,14:55:00,幼年班(中日文),崇拜,Samson
5,2025-01-04,14:00:00,14:55:00,少年班,崇拜,Adam and Eve
7,2025-01-04,14:00:00,14:55:00,青教組,崇拜,Noah's Ark
9,2025-01-04,14:00:00,14:55:00,日文班,崇拜,The Good Samaritan
10,2025-01-04,15:00:00,15:30:00,幼年班,詩頌,Hymn 320
6,2025-01-04,15:00:00,15:30:00,少年班,詩頌,True Jesus Church
8,2025-01-04,15:00:00,15:30:00,青教組,共習,The Ten Commandments
15,2025-01-11,14:00:00,15:00:00,幼幼班,崇拜,Jesus turns water into wine
